time,soilw,soilw_yr01,soilw_yr03,soilw_yr05,soilw_yr10
1951-09-01,117.45695,137.67287533333334,130.45624077777777,,
1951-10-01,114.507935,139.08024625,131.64907352777777,,
1951-11-01,124.90316,140.17189791666667,133.02036225,,
1951-12-01,156.53818,142.88327375000003,134.5883251666667,,
1952-01-01,193.03842,147.46597791666667,136.13595572222223,,
1952-02-01,199.97253,152.04680541666667,137.3967401666667,,
1952-03-01,212.87563,157.37022958333333,138.79051322222222,,
1952-04-01,231.1197,162.74573791666666,140.607661,,
1952-05-01,224.1688,166.96352708333333,142.00120544444445,,
1952-06-01,198.69858,170.73384291666665,142.91686433333334,,
1952-07-01,160.78993,172.37206791666668,143.42972016666667,,
1952-08-01,126.87313,171.74524541666668,143.74527,,
1952-09-01,104.29696,170.64857958333334,143.87444944444445,,
1952-10-01,88.53173,168.48389583333332,143.29754,,
1952-11-01,91.78965,165.72443666666666,142.6803911111111,,
1952-12-01,99.2529,160.95066333333332,141.97872122222222,129.82288358333332,
1953-01-01,108.94424,153.942815,140.88405205555557,130.6321983,
1953-02-01,115.7532,146.9245375,139.79080094444444,131.4844738,
1953-03-01,114.31754,138.71136333333334,138.94153705555556,131.98116013333333,
1953-04-01,130.37874,130.31628333333333,138.78952872222223,132.4821118,
1953-05-01,141.7869,123.45112499999999,138.90597316666668,133.3200543,
1953-06-01,124.54736,117.27185666666666,138.89083316666665,133.66830363333332,
1953-07-01,115.49703,113.49744833333334,139.08239386111111,133.93829446666666,
1953-08-01,104.817894,111.659512,139.55686258333333,134.25081328333334,
1953-09-01,87.77003,110.28226783333332,139.53457425,134.45991395,
1953-10-01,81.656044,109.709294,139.0911453611111,134.62808208333334,
1953-11-01,77.917,108.55323983333334,138.1498581388889,134.66775265,
1953-12-01,81.32893,107.05957566666667,136.96450425,134.3550429,
1954-01-01,94.861855,105.88604358333333,135.76494549999998,133.64734515,
1954-02-01,102.46489,104.77868441666665,134.58334244444444,132.77868848333335,
1954-03-01,119.085205,105.17598983333333,133.75252758333332,132.05177856666666,
1954-04-01,128.47957,105.01772566666666,132.69324897222222,131.4313984,
1954-05-01,125.39291,103.65155983333334,131.35540397222223,130.62126023333332,
1954-06-01,125.11134,103.69855816666666,130.56808591666666,129.94420156666666,
1954-07-01,114.79557,103.64010316666666,129.83653980555556,129.4853424,
1954-08-01,101.14654,103.334157,128.91297147222224,129.2458958,
1954-09-01,96.78134,104.0850995,128.33864897222222,129.19814313333333,
1954-10-01,104.629654,105.999567,128.06425227777777,129.1202962,
1954-11-01,115.43506,109.12607200000001,127.80124949999998,129.14409703333334,
1954-12-01,119.83421,112.33484533333332,126.78169477777776,129.06611693333332,
1955-01-01,127.39163,115.04565991666668,124.95817283333332,128.71677193333332,
1955-02-01,157.49059,119.63113491666667,123.77811894444443,128.75644443333334,
1955-03-01,168.15135,123.71998033333334,122.53577783333334,129.14411626666666,
1955-04-01,158.86946,126.25247116666667,120.52882672222222,129.5277566,
1955-05-01,155.2719,128.742387,118.61502394444443,129.82237326666666,
1955-06-01,149.43732,130.769552,117.24665561111111,130.2281219333333,
1955-07-01,136.4573,132.57469616666666,116.57074922222222,130.69239618333333,
1955-08-01,130.47838,135.01901616666666,116.67089505555555,131.40475218333333,
1955-09-01,130.9779,137.8687295,117.41203227777777,132.11151035,
1955-10-01,131.32323,140.09319416666668,118.60068505555556,132.67323945,
1955-11-01,137.56091,141.937015,119.87210894444446,133.10253228333335,
1955-12-01,146.87602,144.19049916666668,121.19497338888888,133.48377145,
1956-01-01,170.24748,147.76182,122.89784116666667,134.02046328333333,
1956-02-01,190.18355,150.48623333333333,124.96535088888888,134.77347911666666,
1956-03-01,178.23518,151.3265525,126.7408408888889,135.26082311666667,
1956-04-01,169.76793,152.23475833333336,127.83498505555556,135.31339528333334,
1956-05-01,169.52126,153.422205,128.60538394444444,135.24616078333332,
1956-06-01,147.95143,153.2983808333333,129.255497,135.15443811666665,
1956-07-01,127.412125,152.54461625000002,129.5864718611111,134.92578636666664,
1956-08-01,103.8602,150.32643458333334,129.55986925,134.41687303333333,
1956-09-01,87.05608,146.66628291666666,129.54003730555556,133.91019186666668,
1956-10-01,91.80519,143.37311291666666,129.82195802777778,133.53181278333332,
1956-11-01,95.45144,139.86399041666667,130.30902580555554,133.04095078333333,
1956-12-01,101.17374,136.05546708333333,130.86027052777777,132.1182101166667,
