resolution,Well_ID,grid_cell,n_wells_in_cell,rank,mc_kge,mc_r2,mc_rmse,mc_mae,mc_nse,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.2,401818112014501,192,25,10,-3.0296949845446353,-18072.183648349765,40.29656288377696,40.266606369494774,-18072.183648349765,-0.2671307893061892,-3.1033701737810233,-18072.519122128553,40.29693687371017,40.26660652271791
0.2,402333111513401,193,24,10,-0.0035111741189197687,-1.3891368860217885,10.532939052785709,8.881712668723042,-1.3891368860217885,0.5160287517802045,-0.03821828007866901,-1.403166901544945,10.563820703262316,8.925434980570206
0.2,401312112442301,170,1,10,-0.18855306427348473,-31799.073327741437,185.79417235984266,185.7898965095137,-31799.073327741437,-0.11083180421134353,-0.1858739154957767,-31799.088616282977,185.79421702202868,185.7898964229243
0.2,403916111575901,228,19,10,-1.999364129362657,-2467.6468745847333,53.54570565056948,53.36531922598545,-2467.6468745847333,-0.21285693577295334,-2.1594639658057573,-2468.9316115206757,53.55963700677489,53.36532463271159
0.2,414411112543701,314,1,10,-0.8668452387543697,-143144.92867122378,207.7628084152786,207.75987725293905,-143144.92867122378,0.901149607183618,-0.8780174192677053,-143144.98100330323,207.7628463928128,207.75987780650044
0.2,413805111492201,301,3,10,-0.41375940113625553,-1758.9624152318515,115.40072349982121,115.35945892321921,-1758.9624152318515,-0.2403226074797167,-0.2853082842474559,-1758.9256144820251,115.39951698105722,115.35946002473558
0.2,404007111585801,228,19,10,-2.713951645186542,-3637.136441999036,52.956171027062645,52.79673960461373,-3637.136441999036,0.011133333023475352,-2.9394925825858906,-3639.4123058573255,52.97273200482089,52.79674487961155
0.2,403524111512901,211,38,10,-0.2953690039803827,-7274.103543835216,130.2295811384085,130.1999274140086,-7274.103543835216,-0.2646484525711468,-0.2183338467884428,-7274.180253895083,130.2302677191954,130.19992582838188
0.2,403627111495701,211,38,10,-0.519182732202647,-1600.8388829701282,131.04612895196246,130.96703013030978,-1600.8388829701282,-0.46692042468609957,-0.48477113171612984,-1600.9401735684569,131.05027216858687,130.96702827191078
0.2,403628111514301,211,38,10,0.19011194986595792,-0.33471891448564395,2.7942500411467197,2.2707564763704036,-0.33471891448564395,0.21605155749112345,0.24943599424225882,-0.3573350631965877,2.8178241867526954,2.3467786247534455
0.2,393814113522601,111,3,10,-0.046522208813336574,-921.6498190039584,28.813143579791138,28.798177140876394,-921.6498190039584,0.22014976960053645,-0.07338753077859694,-921.6768079755311,28.8135649917994,28.798178299954227
0.2,403524111572201,210,21,10,0.7348955220201959,-22941.727754516603,320.24547535724065,320.2419077139323,-22941.727754516603,0.7451553518012076,0.7696794276503321,-22941.661632076888,320.24501387272096,320.2419086321522
0.2,415008111593901,318,3,10,0.11861069324797724,-364.7893892670102,31.03129276368554,30.994350350498557,-364.7893892670102,0.36133266050630797,0.2028897167769791,-364.84707990422936,31.03373972432084,30.994352460415623
0.2,414209111574001,318,3,10,-0.3375667668212552,-63.62604437417026,8.171324022445686,7.957337153254975,-63.62604437417026,-0.314494568401203,-0.2439732847074123,-63.69301747966256,8.175556969402043,7.957335415115488
0.2,414642111511401,319,15,10,-0.6632635579640005,-181.53363586201758,12.25474211385161,12.165594547081554,-181.53363586201758,-0.6497440528014231,-0.6828422356036532,-181.7195667159197,12.260981935665184,12.165594076634493
0.2,415926111571302,336,5,10,-0.8667343976553079,-13359.864859138961,87.8356420122225,87.8102104322442,-13359.864859138961,-0.05850542915249546,-0.9527101190171903,-13360.312694211669,87.83711405583374,87.8102093051104
0.2,414721111590001,318,3,10,0.3752022190831116,-267.01536937263927,23.063102390677845,23.037018703770606,-267.01536937263927,0.6495625228715525,0.5000289958695201,-266.85624556402246,23.05625495954906,23.03701704530015
0.2,415926111571301,336,5,10,-0.6544567273507476,-12915.106165358558,90.08836952731714,90.06672062656384,-12915.106165358558,0.11003876477138613,-0.7635622971444003,-12915.681636532447,90.09037642791286,90.06672004627902
0.2,415638111493601,337,3,10,-0.9182143263591886,-876.5085097790773,50.05643177164655,49.84981578587846,-876.5085097790773,-0.6969004474167045,-0.9700103911153473,-877.0775869093935,50.072660305805286,49.849807032417715
0.2,403627111495702,211,38,10,-0.438800274131419,-1484.7086020283593,133.61170748945813,133.53294498504258,-1484.7086020283593,-0.3729104804833795,-0.4269495844735487,-1484.8219956364062,133.61680620952117,133.5329431171528
0.2,415506112030201,336,5,10,0.4831119706738688,-27605.689536218182,387.8019542810909,387.7977049709102,-27605.689536218182,0.6288243609486684,0.46062015129033396,-27605.8045060839,387.8027617935623,387.79770583455166
0.2,413840111552601,301,3,10,-0.3744068881071623,-28499.224925312934,304.79081259294645,304.7809712579067,-28499.224925312934,-0.32646753101762377,-0.22581827600498117,-28499.47534697927,304.79215163598406,304.7809695397588
0.2,414134111544701,319,15,10,-0.9506779563185621,-677.5775202573207,49.480500191302156,49.41157789708786,-677.5775202573207,-0.861120836017624,-0.9557843747182693,-677.6467628588438,49.48302464212619,49.41157744509809
0.2,413609111495701,301,3,10,0.17219967581741036,-52618.15255052865,189.42519989068805,189.42150903143607,-52618.15255052865,0.2163933726034337,-0.035399639860273835,-52619.16309713733,189.42701882984818,189.42150951502322
0.2,403002112123201,209,35,10,-0.4560546572871029,-327184.37148982025,992.5473124072553,992.540079944095,-327184.37148982025,0.2991526903557797,-0.4666080511021351,-327184.3487720953,992.5472779490868,992.540079850191
0.2,414857111495801,319,15,10,0.10796931734761628,-116.9355068609795,38.21566403397505,38.08460635926175,-116.9355068609795,0.7914185834868946,0.09759561470551015,-116.9421108704362,38.21673399619602,38.0846065286364
