Well_ID,pct_missing,rep,n_held,rank,n,kge,r2,rmse,mae,nse,r
415703112514501,40,9,115,3,115,-0.3814792363036974,-0.022411830496281704,5.2067013792653505,4.425021604288549,-0.022411830496281704,-0.04428402061658471
415703112514501,40,10,115,3,115,-0.26930399521033377,-0.02631246991053482,5.151941601033746,4.468271181177094,-0.02631246991053482,0.12605177497919642
415703112514501,40,11,115,3,115,-0.3549868891334085,-0.01804231414866231,5.036197589907826,4.338718244498523,-0.01804231414866231,-0.0019295671868641204
415703112514501,40,12,115,3,115,-0.3384892546031124,-0.03044008304762924,5.5790876991259815,4.695564217248442,-0.03044008304762924,0.0069600800104520685
415703112514501,40,13,115,3,115,-0.33575428632459703,-0.011972317082884043,5.1584772422927605,4.396068521315828,-0.011972317082884043,0.020867295075286566
415703112514501,40,14,115,3,115,-0.17990052006728163,0.016916869439968285,5.143767959607478,4.335976395573783,0.016916869439968285,0.2616798571460468
415703112514501,40,15,115,3,115,-0.3411708874307926,-0.016115194059003635,5.009848460718549,4.199406767457273,-0.016115194059003635,0.012326920902440365
415703112514501,40,16,115,3,115,-0.2980386031866571,-0.08063427107068843,5.499168892600373,4.524293185426098,-0.08063427107068843,0.07318820270161662
415703112514501,40,17,115,3,115,-0.32427849905073813,0.00023924481552517474,4.551080836390803,3.7815160292007297,0.00023924481552517474,0.04382308687107988
415703112514501,40,18,115,3,115,-0.33246886533024766,1.4757713174495812e-05,4.856930063356703,4.081687287918952,1.4757713174495812e-05,0.03928175656625503
415703112514501,40,19,115,3,115,-0.28647503857428136,-0.02570283107829452,4.906770356912585,4.119781572499928,-0.02570283107829452,0.08790975585775446
415703112514501,50,0,144,3,144,-0.3288720745309306,-0.012826529793851238,4.696347607902787,3.87444242629698,-0.012826529793851238,0.010609122670176246
415703112514501,50,1,144,3,144,-0.32264702280731017,-0.014949442286111392,5.213526832770974,4.4828813611178795,-0.014949442286111392,0.05120129201971684
415703112514501,50,2,144,3,144,-0.3015557269778555,0.005195518771272223,4.92512591799729,4.121977699960035,0.005195518771272223,0.073797874072214
415703112514501,50,3,144,3,144,-0.3454189368440874,-0.05244066520037194,5.0840207082900415,4.183920710640753,-0.05244066520037194,0.015035188733576276
415703112514501,50,4,144,3,144,-0.4236858825237859,-0.0286322920759583,5.020550961076076,4.229640395417745,-0.0286322920759583,-0.0913275034378149
415703112514501,50,5,144,3,144,-0.2728052123895217,-0.03408725122311318,5.050875716232532,4.423041239455403,-0.03408725122311318,0.12925246328051296
415703112514501,50,6,144,3,144,-0.4072726481802018,-0.01840681320320048,5.087538470208043,4.318151821119961,-0.01840681320320048,-0.06793683350558732
415703112514501,50,7,144,3,144,-0.36057069760255067,-0.02464075888197459,4.778946775080257,4.041384566416841,-0.02464075888197459,-0.022229447442932534
415703112514501,50,8,144,3,144,-0.3470991958939964,-0.01263819342589434,5.178733027144575,4.306783613812292,-0.01263819342589434,0.010329721630615908
415703112514501,50,9,144,3,144,-0.23822635193644004,0.009654078398188104,4.84344674061968,4.222101094823826,0.009654078398188104,0.15680438452422263
415703112514501,50,10,144,3,144,-0.32251394934139843,-0.005932790173285296,5.111730084825661,4.271529778702529,-0.005932790173285296,0.04994371357836707
415703112514501,50,11,144,3,144,-0.3561902121200273,-0.0061292126423933,4.899296333330786,4.064273747118837,-0.0061292126423933,0.006011825772031802
415703112514501,50,12,144,3,144,-0.2860309175469764,0.008685032000894766,4.949870615355676,4.194950261702457,0.008685032000894766,0.09865418949107516
