pct_missing,rep,status,n_removed,n_remaining,n_scored,mae,rmse,r,r2,kge,nse
20,9,ok,40,162,40.0,1.9860868127829463,2.3910121781449964,0.9085762093069326,0.8228635586140751,0.8679513604997157,0.8228635586140753
20,10,ok,40,162,40.0,1.510576119749976,2.0109053079132164,0.9418957501359164,0.8870498847171128,0.9099970891110668,0.8870498847171129
20,11,ok,40,162,40.0,2.3042554931389985,3.045691577346741,0.8473583292406699,0.7034286563279324,0.8214980533399147,0.7034286563279326
20,12,ok,40,162,40.0,1.631455752434681,1.990284649864113,0.942679491662537,0.8843016784448273,0.9420798516689014,0.8843016784448274
20,13,ok,40,162,40.0,1.9062529426476202,2.4294333637137604,0.9043160330703517,0.8133550922958046,0.8714907118603303,0.8133550922958047
20,14,ok,40,162,40.0,2.515223468166164,3.2684661214324873,0.8059118308653925,0.6173338665233115,0.761198116208589,0.6173338665233118
20,15,ok,40,162,40.0,1.6201303365344302,2.2066682776588413,0.9367614478956873,0.8722746038010545,0.8583331433421209,0.8722746038010545
20,16,ok,40,162,40.0,2.0048851358354796,2.576122856792478,0.8843060477834132,0.7800666887812444,0.8520929456056079,0.7800666887812445
20,17,ok,40,162,40.0,2.536248745820285,3.56902702540397,0.8240249001068758,0.6760700579204679,0.78604177680513,0.6760700579204681
20,18,ok,40,162,40.0,2.1027934556999752,3.15125459442369,0.8225768878387609,0.6430642151610928,0.8214083102791017,0.643064215161093
20,19,ok,40,162,40.0,1.8384651037184994,2.447180240528561,0.9035880251082807,0.7692362753471027,0.9033629788576724,0.7692362753471028
20,20,ok,40,162,40.0,2.4178591833465815,3.4405823965092077,0.7960514553632697,0.6190079210533044,0.7780281298700229,0.6190079210533046
20,21,ok,40,162,40.0,2.137119170507867,2.769599149089015,0.8939110329044748,0.7678655054825425,0.893394192042438,0.7678655054825427
20,22,ok,40,162,40.0,2.2104227218212373,3.0534855246269106,0.8791066867234658,0.7611880207877993,0.7972469894212311,0.7611880207877993
20,23,ok,40,162,40.0,2.175663098459404,2.9663204947079276,0.9001341902576502,0.7966062980916748,0.7648514112516946,0.7966062980916749
20,24,ok,40,162,40.0,1.9569198782211514,2.3660791823863065,0.9186122457415662,0.8421781372270057,0.8977590118944568,0.842178137227006
20,25,ok,40,162,40.0,2.2580545814516655,2.783571812243816,0.8749385116521298,0.7614338400356422,0.8419545152999791,0.7614338400356424
20,26,ok,40,162,40.0,1.7025717712913546,2.2868501441759594,0.8968007174750995,0.7997824535050679,0.8503255917733857,0.7997824535050683
20,27,ok,40,162,40.0,1.8592088152076713,2.380093982836271,0.914870047953899,0.8342026916607705,0.9088604437458417,0.8342026916607707
20,28,ok,40,162,40.0,1.7421987397576912,2.1728485541287066,0.9278057716081186,0.8607770231958831,0.9021518330969194,0.8607770231958833
20,29,ok,40,162,40.0,1.6029828796846004,2.0192650646505643,0.9469704392869681,0.8966622422837618,0.9183307863906748,0.8966622422837618
20,30,ok,40,162,40.0,1.7994754483278939,2.1893462847033227,0.9285914976558443,0.8602973837967268,0.9111699110842745,0.8602973837967269
20,31,ok,40,162,40.0,1.8053031308612162,2.3716375086445263,0.920172079567295,0.845356770019247,0.8850103040637575,0.8453567700192473
20,32,ok,40,162,40.0,1.8903826643379715,2.8963398171879495,0.8637697567021236,0.7334343685376663,0.858492841901475,0.7334343685376665
20,33,ok,40,162,40.0,2.1612604219798186,2.9601684137097037,0.8552325483064761,0.7299232857508381,0.7671042213223618,0.7299232857508384
20,34,ok,40,162,40.0,1.7805308922905851,2.3187197595805036,0.9194425253917783,0.8027048964176617,0.9111681496986651,0.8027048964176617
20,35,ok,40,162,40.0,2.0557353379188728,2.5277288344991913,0.9167699318475253,0.8341586116739055,0.8239621302609894,0.8341586116739055
20,36,ok,40,162,40.0,1.5849699298669975,2.2177584408115023,0.9212506562596058,0.8310273216951741,0.9181207062314416,0.8310273216951742
20,37,ok,40,162,40.0,2.03450193392664,3.0671092289298763,0.8824935162654342,0.7757769531255952,0.8125144538768813,0.7757769531255954
20,38,ok,40,162,40.0,1.946832234843282,2.2775335175838927,0.9226344734653896,0.8497513196033514,0.8755947522846704,0.8497513196033515
20,39,ok,40,162,40.0,1.9908569605139064,2.637005946647376,0.8972174426116123,0.8047952398809671,0.8460533386826874,0.8047952398809674
20,40,ok,40,162,40.0,1.8809084310562185,2.497090636746381,0.9155652587827795,0.8361086650107941,0.8503327667770886,0.8361086650107943
20,41,ok,40,162,40.0,2.0535782150152047,2.575305403873163,0.9078152860007419,0.8238747596137567,0.87819851297863,0.8238747596137568
20,42,ok,40,162,40.0,2.3318608600552126,3.1705302628804444,0.851814638331438,0.7211186798670582,0.7652942482306107,0.7211186798670586
20,43,ok,40,162,40.0,2.1012529965468274,2.6565211645319384,0.8994605211280184,0.7997288527579256,0.8868028450937897,0.7997288527579257
20,44,ok,40,162,40.0,1.587899255858133,2.123687123193621,0.9361242818508806,0.8622059141095266,0.933827046386493,0.8622059141095268
20,45,ok,40,162,40.0,2.0673883005440756,2.7393336117854514,0.8797758623571199,0.7661467875701964,0.8747170621258962,0.7661467875701966
20,46,ok,40,162,40.0,2.0981501503858224,3.3230923903358804,0.8504939751570153,0.6893752833229635,0.8359249071484124,0.6893752833229636
20,47,ok,40,162,40.0,2.0616015824069565,2.880990950550875,0.8738634543079293,0.7616182727090589,0.8275022715561986,0.7616182727090591
20,48,ok,40,162,40.0,2.0207952646995864,2.471976354837623,0.9088858738884809,0.7754123566276135,0.9028329887713609,0.7754123566276138
20,49,ok,40,162,40.0,2.310631546006266,3.3460993753481034,0.8529371336175989,0.7142970455512012,0.8177316269036519,0.7142970455512012
30,0,ok,60,142,60.0,2.2765276442116527,3.064599914993247,0.8946013301525311,0.7802688756245041,0.7963228531366315,0.780268875624504
30,1,ok,60,142,60.0,2.060621114597461,3.153668415168039,0.865295736004539,0.7420393677995756,0.8539637633771887,0.7420393677995758
30,2,ok,60,142,60.0,2.3062450771369942,3.242633848190743,0.8356556109104422,0.6948010970618779,0.7974532193147676,0.694801097061878
30,3,ok,60,142,60.0,2.283819067334707,3.121714790059061,0.8753286327635834,0.7574996758773503,0.7645292335437563,0.7574996758773505
30,4,ok,60,142,60.0,2.51716252902717,3.2985623646645625,0.8265673880975306,0.6804567404587489,0.7476071232367658,0.6804567404587492
30,5,ok,60,142,60.0,2.1209236126294853,2.705339943066078,0.878623935803489,0.7658797953807732,0.8595629092242361,0.7658797953807734
30,6,ok,60,142,60.0,2.0807526343994596,2.9268347357495967,0.8519642233644465,0.7079352102713694,0.8507060338053036,0.7079352102713695
30,7,ok,60,142,60.0,1.8410794732651083,2.499747497606638,0.9010357688300876,0.8109409130941108,0.8739612110532823,0.8109409130941106
30,8,ok,60,142,60.0,1.6028304889119076,2.021231221645068,0.9430356297786257,0.8856496416722519,0.9323048125536517,0.885649641672252
30,9,ok,60,142,60.0,2.266026062258667,3.256380062960477,0.8361166111642738,0.6857930206507404,0.7945319876260064,0.6857930206507405
30,10,ok,60,142,60.0,2.2394932531697123,2.90992005580682,0.8815343051464369,0.7759961832718,0.8443569341890098,0.7759961832718001
30,11,ok,60,142,60.0,1.9250435226762874,2.693434469993504,0.8929289905205421,0.7952266731592634,0.8155397888670362,0.7952266731592634
30,12,ok,60,142,60.0,2.6063751080566058,3.4492691088604817,0.7993321619688267,0.6325588473857133,0.7637500428577539,0.6325588473857133
30,13,ok,60,142,60.0,1.7772065882611665,2.399688211491497,0.9204110136299032,0.838072678325136,0.9202233032441458,0.8380726783251361
30,14,ok,60,142,60.0,1.9959966537227198,2.9855835823841796,0.861793472235217,0.7420313111819472,0.7865854266652559,0.7420313111819474
30,15,ok,60,142,60.0,2.1174200275807076,2.8022562035036613,0.8674534344020373,0.7380294880855145,0.8575681509030741,0.7380294880855147
30,16,ok,60,142,60.0,2.18208097095018,2.6860514326081844,0.8989045326402239,0.801047232109182,0.8643306060502187,0.8010472321091822
30,17,ok,60,142,60.0,1.8025609315606592,2.304291991042848,0.9226979585572128,0.8492376186598586,0.8558030643399974,0.8492376186598587
30,18,ok,60,142,60.0,2.0378223602437475,2.9472429927851596,0.8790809804930055,0.7622765955272526,0.8558049690389763,0.7622765955272527
30,19,ok,60,142,60.0,2.462342671057331,3.309042669366183,0.8529470260793265,0.7222482160550393,0.7860383176928268,0.7222482160550393
