resolution,Well_ID,grid_cell,grid_dist_deg,true_mean,idw_mean_est,mean_error,rank,amc_kge,amc_r2,amc_rmse,amc_mae,idw_kge,idw_r2,idw_rmse,idw_mae,rmc_kge,rmc_r2,rmc_rmse,rmc_mae
0.1,414721111590001,1285,0.014917618192735429,4424.7940829873905,4414.654440356164,10.139642631226707,5,0.24529165803839492,-51.50265275525964,10.207714176312209,10.139642631227028,0.3427148265144744,-51.40336018161872,10.198057236934739,10.139642631227836,0.1657025768452035,-51.567105289266564,10.21397777653071,10.13965833997712
0.1,415926111571301,1357,0.028822242933683045,4501.123750048388,4510.190967903889,9.06721785550144,5,-0.3011435180737678,-134.20209400817075,9.217107077456642,9.067217855501866,-0.47948768856525925,-135.02076917960002,9.244970655960218,9.067217855501134,-0.10043096488183867,-132.7844994531561,9.168659044071521,9.067248216361381
0.1,415638111493601,1323,0.049394317939456464,4463.5800326616545,4507.15109343384,43.571060772185774,5,-0.8658360736550657,-669.9916718669272,43.77163656417927,43.57106077218625,-0.9392874704034491,-670.9586884197024,43.803166506631825,43.57106077218738,-0.4614353837865779,-665.6724216796927,43.63052759678645,43.57113337170566
0.1,403627111495702,855,0.03348155173949791,4565.665562475925,4492.6637479616975,73.00181451422759,5,-0.22868015069039593,-443.507346425631,73.08313465204387,73.0018145142274,-0.26335954508063564,-443.54622856369616,73.08633096186452,73.00181451422766,-0.21332865659283629,-443.496835817192,73.08227060248556,73.00181223158013
0.1,415506112030201,1320,0.03160036236222092,4883.4152907530515,4418.831795442922,464.58349531012936,5,0.1452120806982895,-39620.43305158147,464.58792436487147,464.58349531012965,0.1119604361319344,-39620.47288752489,464.5881579164141,464.58349531013005,0.0661312780870138,-39620.506172697846,464.5883530617836,464.5834932036974
0.1,413840111552601,1214,0.04876169552381809,4470.655183680253,4581.985394289674,111.33021060942156,5,-0.9378778569779653,-3803.319664364735,111.35666839574901,111.33021060942119,-0.7241813819070679,-3803.3497890185104,111.35710928593912,111.33021060942298,-0.9418279765896178,-3803.268832092014,111.35592443468036,111.33021367354633
0.1,414134111544701,1250,0.021527348145166325,4400.738472153656,4448.69677824717,47.958306093513784,5,-0.9708313338867378,-637.8877158320926,48.011648283352564,47.95830609351333,-0.9337440635605208,-637.9176010555932,48.01277118963568,47.95830609351297,-1.0013950149006745,-637.9333649477247,48.01336349095611,47.95830272540125
0.1,413609111495701,1215,0.03316896876076921,4800.123503050108,4561.627624822205,238.49587822790363,5,0.06707503722871444,-83413.75770959264,238.49939179503332,238.49587822790292,0.0002445856159206672,-83414.2054609178,238.50003189924485,238.49587822790156,0.02534429717853648,-83413.7713225374,238.49941125609155,238.49587066730595
0.1,403002112123201,815,0.05070175139188374,5457.263812258602,5081.494944937068,375.76886732153434,5,-1.2547676021453955,-46902.5350654861,375.8002518478994,375.7688673215338,-1.3014389329896487,-46902.5731743252,375.8004045155864,375.76886732153434,-1.2530641440000276,-46902.54634758006,375.80029704506296,375.76886162147287
0.1,414857111495801,1287,0.03541329917941837,4482.401577195809,4446.356638626785,36.04493856902445,5,0.09500191116711687,-104.74496367072608,36.18669895974004,36.044938569024254,0.08672029362577549,-104.74369395726153,36.186481706476926,36.04493856902552,0.07928975747976474,-104.76847996114572,36.1907224592348,36.04493540216958
0.2,415703112514501,332,0.019354856890903008,4211.915038160456,4265.683156279659,53.76811811920288,5,-0.016363952355385125,-115.88809464665634,54.08542087658689,53.76811811920313,0.05414740876989177,-115.93609667211324,54.09652527206973,53.768118119206186,-0.07996169461436131,-115.938802983002,54.09715125999176,53.7681397408982
0.2,414236112101201,317,0.06703481576271601,4295.836915748806,4316.678787776781,20.841872027975114,5,0.6225389719998617,-235.85987708815884,20.868423144728567,20.841872027975704,0.6803174376300449,-235.90567681627354,20.870440628483287,20.84187202797415,0.6356567794354062,-235.84201249548596,20.867636154307156,20.84186718256401
0.2,411348112013601,264,0.07686176352314118,4254.555350713205,4257.533724735998,2.9783740227921953,5,0.3687645935269118,0.12339852751491798,4.722186856935977,3.5895292689656975,0.46233456513176197,0.2167499859605272,4.463672016838195,3.4063722517551773,0.37798291968463404,0.14652223959351562,4.6594877539530835,3.546602738037396
0.2,411544111461001,283,0.10492335398975006,4902.612191080549,4652.953915943844,249.65827513670502,5,0.2697582902817578,-4467.133257001511,249.68027917907423,249.65827513670422,0.27258009437477193,-4467.157378034275,249.68095312249986,249.65827513670573,-0.09495816092413767,-4467.423652298788,249.6883927241139,249.65824178246274
