resolution,Well_ID,rank,true_mean,true_elev,grid_elev,mc_kge,mc_r2,mc_rmse,mc_mae,mc_r,idw_kge,idw_r2,idw_rmse,idw_mae
0.2,414721111590001,5,4424.7940829873905,1351.0,1639.0,-1.3102827723866959,-31957.03537980113,251.8418575537365,251.79713874038458,-0.526613434539834,-0.08340486100277356,-94.59088376485569,13.77355716369812,13.706187521220029
0.2,415926111571301,5,4501.123750048388,1376.0,1513.0,-0.7910894818811307,-48927.44253444141,175.34105677029564,175.32905165652824,0.21057838166258766,-0.09841847770935219,-37706.88211423388,153.92848471548857,153.92178171951946
0.2,415638111493601,5,4463.5800326616545,1362.0,1373.0,-0.2943561588031769,-15878.79541728893,212.93971633407185,212.92553968344419,-0.2797844257895759,-0.7583719973362524,-502.1382779159533,37.903376478557796,37.729849517455236
0.2,403627111495702,5,4565.665562475925,1401.0,1465.0,-0.11189978841823356,-1019.5567379264813,110.73789717336871,110.67489484886926,0.0387143323820337,-0.31704440132853207,-134.42928942284792,40.339823626132564,40.17285384474841
0.2,415506112030201,5,4883.4152907530515,1494.0,1513.0,0.23161718889576743,-7912.389644833355,207.62713099026408,207.60931894144986,0.2412815239814533,0.2795508081216477,-31350.09504252397,413.26553212737014,413.261256905251
0.2,413840111552601,5,4470.655183680253,1365.0,1474.0,-0.7031177336802787,-13001.71710202377,205.87081553106987,205.84646980675583,-0.6996607502337541,-0.6947992986812741,-5489.674474850584,133.77981045343202,133.75653321063243
0.2,414134111544701,5,4400.738472153656,1352.0,1373.0,-0.3905411792524893,-21094.6247662966,275.88655933180434,275.87349422032565,-0.35717155552440444,-0.3746912021545028,-504.0455262338967,42.68739091689948,42.642992951871925
0.2,413609111495701,5,4800.123503050108,1467.0,1474.0,-0.5541012808395553,-22618.174439041715,124.19502649874346,124.17931288044555,-0.21425809110999863,0.19522819203866904,-131658.97536815467,299.635119282819,299.63287550678746
0.2,403002112123201,5,5457.263812258602,1705.0,1577.0,0.15878136106006646,-203318.874710698,782.4276607017129,782.4237765345375,0.5460217820917317,-2.686500234012803,-163479.05283078254,701.5952876804977,701.5566350579976
0.2,414857111495801,5,4482.401577195809,1373.0,1373.0,0.032511684298033194,-3041.4483209812324,194.102320018465,194.07211842702412,0.2596847512571235,-0.6754566978536052,-137.26575263960703,41.37866094443243,41.216103608553325
0.5,415703112514501,5,4211.915038160456,1336.0,1582.0,-0.07843884399013135,-8641.527771760007,465.0669375096835,465.0315548369185,0.014567560321903567,-0.06768286652473532,-946.9671575048576,154.02517808447124,153.7743036647999
0.5,414236112101201,5,4295.836915748806,1316.0,1281.0,-0.48192944681830996,-78933.21971767288,380.9575144849265,380.94527707238296,-0.2608462638457579,0.5036541454303167,-270.08382739291284,22.325216996096675,22.302478367518855
0.5,411348112013601,5,4254.555350713205,1303.0,2389.0,-1.2657196569160205,-7020.717444537843,422.63333115867584,422.3586058627887,0.2822233069303661,-0.046016775943612975,-4676.79995671715,344.95535639127706,344.92188896256437
0.5,411544111461001,5,4902.612191080549,1501.0,1693.0,-0.014080087757123882,-3689.133236391988,226.90402841323103,226.8255721741247,0.023391368108913294,0.060443213748199054,-7861.764772886398,331.21410586771105,331.1954907285618
0.5,401818112014501,5,4762.901875611026,1483.0,2323.0,-47.4297525355021,-86421.71035397524,88.11799659638889,86.85092298270223,-0.25116354484277,-6.451705806863688,-583537.9016836365,228.97368858882737,228.95869101920346
0.5,402333111513401,5,4529.257348247341,1390.0,2323.0,-0.2580807877067779,-468.7402335294623,147.69232734011803,147.18974711169724,0.5951880568717891,0.33728982665139484,-0.016306906186720482,6.869758860300406,5.644010606126945
0.5,401312112442301,5,4760.465899661774,1473.0,1708.0,-2.926325846331945,-6594.1879810917335,84.61193290819294,84.43856588538347,-0.4896543773427687,-0.08833464067908214,-7341.423851165029,89.2766226747643,89.26864898713228
0.5,403916111575901,5,4399.510116238381,1360.0,2323.0,-11.802152659101404,-66339.18491954269,277.5770140129772,277.1555260955476,-0.4392887404731573,-0.7173045732041721,-15566.281796343414,134.46261536100727,134.43306835344129
