Well_ID,n_years,rep,n_held,rank,window_start,window_end,n,kge,r2,rmse,mae,nse,r
414411112543701,1,19,12,3,2002-01,2002-12,12,0.2678101306936409,-4.981642618293563,0.5355755852676013,0.5062642543129338,-4.981642618293563,0.7263869678144375
414411112543701,2,0,24,3,2000-11,2002-10,24,-0.05127649313543836,-5.183721447643099,0.4830009563068266,0.41515944668412885,-5.183721447643099,0.15390934490037103
414411112543701,2,1,24,3,2019-10,2021-09,24,0.10188770796812074,-1.4682937893054926,0.3225524939877268,0.2607003269174963,-1.4682937893054926,0.20474512992074276
414411112543701,2,2,24,3,2020-08,2022-07,24,0.14021173163978984,-0.9697669204206099,0.31840103403869124,0.2725189619595009,-0.9697669204206099,0.1462331289543401
414411112543701,2,3,24,3,2008-07,2010-06,24,-0.25398796374440047,-0.9515770506910239,0.27830621057516375,0.2192185039521064,-0.9515770506910239,-0.22645725009644907
414411112543701,2,4,24,3,2000-06,2002-05,24,-0.12122743602276831,-2.8389382457672068,0.4449786317659505,0.38078482896912647,-2.8389382457672068,0.45816436424374324
414411112543701,2,5,24,3,2006-03,2008-02,24,0.36413708265819156,-7.414493941557756,0.6183058485044473,0.5674782398953843,-7.414493941557756,0.36566835776525825
414411112543701,2,6,24,3,2014-11,2016-10,24,-0.5444643911873044,-0.6395693877032964,0.2894927101282923,0.24480864123794768,-0.6395693877032964,-0.3678138569429601
414411112543701,2,7,24,3,2014-12,2016-11,24,-0.4956803685117994,-0.5042021274670623,0.293450080442109,0.24693175176328927,-0.5042021274670623,-0.28015012283632285
414411112543701,2,8,24,3,2006-01,2007-12,24,0.2877276638092713,-6.950884654325793,0.5980347911829615,0.5423761539581543,-6.950884654325793,0.28778992271812737
414411112543701,2,9,24,3,2001-10,2003-09,24,0.030247758969950023,-8.1996757653614,0.6185170331888842,0.5588293636825105,-8.1996757653614,0.03894034294211963
414411112543701,2,10,24,3,2014-09,2016-08,24,-0.610618264990241,-0.9216888654716915,0.2898757749008708,0.24601115304797835,-0.9216888654716915,-0.48615304876650456
414411112543701,2,11,24,3,2020-11,2022-10,24,0.17838577046509763,-0.14179629462847698,0.2973911283011789,0.25381997822936836,-0.14179629462847698,0.3400136567205166
414411112543701,2,12,24,3,2014-11,2016-10,24,-0.5444643911873044,-0.6395693877032964,0.2894927101282923,0.24480864123794768,-0.6395693877032964,-0.3678138569429601
414411112543701,2,13,24,3,2001-05,2003-04,24,0.21560751887158336,-5.600240527349782,0.530073292082048,0.46237261718776307,-5.600240527349782,0.21563099545623285
414411112543701,2,14,24,3,2007-09,2009-08,24,-0.3221428539953357,-6.107064586131361,0.49746806694555146,0.3943500426802302,-6.107064586131361,-0.31950128376888565
414411112543701,2,15,24,3,2002-06,2004-05,24,0.4146992951774706,-8.339741830737399,0.6593207438343682,0.6299229058267505,-8.339741830737399,0.48786966853260405
414411112543701,2,16,24,3,2018-02,2020-01,24,0.2755323626676227,-0.1393499759900787,0.2765076991877065,0.24260546193852406,-0.1393499759900787,0.3353410348704604
414411112543701,2,17,24,3,2005-05,2007-04,24,-0.17856997410962405,-3.589625003045719,0.4244382860877777,0.3634525481784294,-3.589625003045719,-0.036265210661391274
414411112543701,2,18,24,3,2001-02,2003-01,24,0.44304601746983463,-3.60015570599304,0.4745863079938919,0.4083150881696156,-3.60015570599304,0.448533238666152
